fs,model,acc,time_s,fs_shape
variance,Logistic_reg,1.0,6.068679094314575,"(80000, 1611)"
variance,LinearSVC,1.0,20.608372449874878,"(80000, 1611)"
variance,SGD_log,1.0,2.2831966876983643,"(80000, 1611)"
variance,MultinomialNB,1.0,0.05216693878173828,"(80000, 1611)"
variance,ComplementNB,0.99975,0.04683065414428711,"(80000, 1611)"
variance,BernoulliNB,1.0,0.08504915237426758,"(80000, 1611)"
variance,KNN_5,1.0,86.7537431716919,"(80000, 1611)"
kbest_mi_500,Logistic_reg,1.0,2.370499610900879,"(80000, 500)"
kbest_mi_500,LinearSVC,1.0,12.801647424697876,"(80000, 500)"
kbest_mi_500,SGD_log,0.99885,1.9084303379058838,"(80000, 500)"
kbest_mi_500,MultinomialNB,0.99565,0.041278839111328125,"(80000, 500)"
kbest_mi_500,ComplementNB,0.9674,0.040308475494384766,"(80000, 500)"
kbest_mi_500,BernoulliNB,0.9976,0.06431174278259277,"(80000, 500)"
kbest_mi_500,KNN_5,0.9998,86.16945362091064,"(80000, 500)"
percentile_mi_20,Logistic_reg,0.99965,2.294217824935913,"(80000, 322)"
percentile_mi_20,LinearSVC,1.0,8.658043622970581,"(80000, 322)"
percentile_mi_20,SGD_log,0.9953,1.73067045211792,"(80000, 322)"
percentile_mi_20,MultinomialNB,0.98465,0.04012250900268555,"(80000, 322)"
percentile_mi_20,ComplementNB,0.91815,0.03796887397766113,"(80000, 322)"
percentile_mi_20,BernoulliNB,0.99385,0.06493330001831055,"(80000, 322)"
percentile_mi_20,KNN_5,0.9989,84.80145072937012,"(80000, 322)"
svd_dense_100,Logistic_lbfgs,1.0,3.409733533859253,"(80000, 100)"
svd_dense_100,RandomForest_100,1.0,6.8567609786987305,"(80000, 100)"
svd_dense_100,ExtraTrees_100,1.0,1.8586480617523193,"(80000, 100)"
svd_dense_100,LightGBM_100,1.0,12.941383600234985,"(80000, 100)"
selectfrom_extratrees,Logistic_reg,1.0,2.8292770385742188,"(80000, 806)"
selectfrom_extratrees,LinearSVC,1.0,14.902490854263306,"(80000, 806)"
selectfrom_extratrees,SGD_log,1.0,1.9821135997772217,"(80000, 806)"
selectfrom_extratrees,MultinomialNB,1.0,0.04300975799560547,"(80000, 806)"
selectfrom_extratrees,ComplementNB,0.99995,0.04153871536254883,"(80000, 806)"
selectfrom_extratrees,BernoulliNB,1.0,0.06596565246582031,"(80000, 806)"
selectfrom_extratrees,KNN_5,1.0,85.4037036895752,"(80000, 806)"
